question,intent,answer
What are the college timings?,campus_info,"College operates from 9:00 AM to 5:00 PM, Monday to Saturday."
Is attendance mandatory?,campus_info,"Yes, 75% attendance is required to be eligible for exams."
Where is the admin office located?,campus_info,The admin office is located on the ground floor of the main building.
Is there a dress code?,campus_info,Formal attire is expected Monday to Friday; casuals allowed on Saturday.
How do I get a bonafide certificate?,campus_info,Apply at the admin office or through the student portal.
When is the exam schedule released?,exam_info,Usually two weeks before exams on the college website.
Where can I check my internal marks?,exam_info,Internal marks are published on the student portal.
How can I apply for revaluation?,exam_info,Submit a revaluation form within 7 days of result declaration.
What is the grading system?,exam_info,We follow the 10-point CGPA system.
How many backlogs are allowed?,exam_info,You can carry a maximum of 4 backlogs.
Where is the library located?,library_info,"Second floor, academic block A."
What are the library timings?,library_info,9:00 AM to 6:00 PM on working days.
Can I borrow books overnight?,library_info,"Yes, one-night borrowing is allowed for reference books."
How many books can I borrow at once?,library_info,Up to 3 books for 15 days.
Is there a fine for late return?,library_info,"Yes, ₹5 per day per book."
How do I apply for hostel?,hostel_info,Apply through the student portal or visit the hostel office.
Are there separate hostels for boys and girls?,hostel_info,"Yes, separate hostels with wardens."
Is Wi-Fi available in the hostel?,hostel_info,"Yes, high-speed Wi-Fi is available for all residents."
Can I stay in hostel during holidays?,hostel_info,Permission is required from the warden.
What are hostel rules?,hostel_info,Hostel rules are provided in the handbook and posted on notice boards.
How do I reset my college email password?,tech_support,Visit the IT helpdesk or request via student portal.
How do I access Wi-Fi on campus?,tech_support,Login credentials are provided by IT after registration.
Where is the IT helpdesk?,tech_support,"Ground floor, next to admin office."
Can I get software licenses?,tech_support,"Yes, request licensed software via student portal."
What if my student portal doesn't work?,tech_support,Report it to the IT helpdesk or mail support@college.edu.
Are there any student clubs?,student_life,"Yes, cultural, coding, sports, and entrepreneurship clubs are available."
How do I join a student club?,student_life,Fill out the club registration form online or meet the club coordinator.
When is the college fest?,student_life,Usually in February each year.
Is there a drama or music club?,student_life,"Yes, both are part of the cultural club."
Can I participate in inter-college events?,student_life,"Yes, with permission from the faculty coordinator."
How do I pay my fees?,finance_info,Use the college payment portal or visit the accounts department.
Are there scholarships available?,finance_info,"Yes, based on merit and financial need."
What is the last date for fee payment?,finance_info,Check the academic calendar or accounts notice board.
Can I pay my fees in installments?,finance_info,Installments are allowed under special cases with approval.
Where can I get a fee receipt?,finance_info,Fee receipts are available from the accounts office or online portal.
Sample question 36,general,This is a sample answer 36.
Sample question 37,general,This is a sample answer 37.
Sample question 38,general,This is a sample answer 38.
